# r   MSF(r)
3.92785571 -0.01424583
3.94388778 -0.01386456
3.95991984 -0.01392848
3.97595190 -0.01484887
3.99198397 -0.01375775
4.00801603 -0.01447387
4.02404810 -0.01407024
4.04008016 -0.01406651
4.05611222 -0.01429184
4.07214429 -0.01393616
4.08817635 -0.01373234
4.10420842 -0.01426216
4.12024048 -0.01426468
4.13627255 -0.01398394
4.15230461 -0.01382884
4.16833667 -0.01521133
4.18436874 -0.01389206
4.20040080 -0.01491685
4.21643287 -0.01381803
4.23246493 -0.01362639
4.24849699 -0.01383384
4.26452906 -0.01420117
4.28056112 -0.01496742
4.29659319 -0.01460484
4.31262525 -0.01406481
4.32865731 -0.01468692
4.34468938 -0.01621383
4.36072144 -0.01357735
4.37675351 -0.01504188
4.39278557 -0.01375402
4.40881764 -0.01398663
4.42484970 -0.01382979
4.44088176 -0.01513323
4.45691383 -0.01448998
4.47294589 -0.01356024
4.48897796 -0.01334215
4.50501002 -0.01426927
4.52104208 -0.01391346
4.53707415 -0.01343672
4.55310621 -0.01553390
4.56913828 -0.01441428
4.58517034 -0.01409900
4.60120240 -0.01403283
4.61723447 -0.01376312
4.63326653 -0.01366832
4.64929860 -0.01456058
4.66533066 -0.01354989
4.68136273 -0.01366092
4.69739479 -0.01493351
4.71342685 -0.01345693
4.72945892 -0.01354181
4.74549098 -0.01370523
4.76152305 -0.01364081
4.77755511 -0.01331911
4.79358717 -0.01356055
4.80961924 -0.01344918
4.82565130 -0.01489939
4.84168337 -0.01350572
4.85771543 -0.01362283
4.87374749 -0.01337463
4.88977956 -0.01327139
4.90581162 -0.01355991
4.92184369 -0.01379945
4.93787575 -0.01339719
4.95390782 -0.01356949
4.96993988 -0.01328933
4.98597194 -0.01365556
5.00200401 -0.01349406
5.01803607 -0.01502276
5.03406814 -0.01329378
5.05010020 -0.01587725
5.06613226 -0.01418387
5.08216433 -0.01567370
5.09819639 -0.01461027
5.11422846 -0.01349424
5.13026052 -0.01394439
5.14629259 -0.01344937
5.16232465 -0.01370669
5.17835671 -0.01341197
5.19438878 -0.01337617
5.21042084 -0.01316552
5.22645291 -0.01345125
5.24248497 -0.01352737
