# r   MSF(r)
6.66110184 0.06357815
6.68614357 0.06373509
6.71118531 0.06426779
6.73622705 0.06446597
6.76126878 0.06450086
6.78631052 0.06437224
6.81135225 0.06430364
6.83639399 0.06441112
6.86143573 0.06471477
6.88647746 0.06334553
6.91151920 0.06449386
6.93656093 0.06477463
6.96160267 0.06461320
6.98664441 0.06475948
7.01168614 0.06416398
7.03672788 0.06484487
7.06176962 0.06437112
7.08681135 0.06468866
7.11185309 0.06471832
7.13689482 0.06493060
7.16193656 0.06485044
7.18697830 0.06413656
7.21202003 0.06245152
7.23706177 0.06458772
7.26210351 0.06288737
7.28714524 0.06202540
7.31218698 0.06404191
7.33722871 0.06370332
7.36227045 0.06358394
7.38731219 0.06311431
7.41235392 0.06070605
7.43739566 0.06457991
7.46243740 0.06564004
7.48747913 0.06600184
7.51252087 0.06421159
7.53756260 0.06666150
7.56260434 0.06452538
7.58764608 0.06673700
7.61268781 0.06652256
7.63772955 0.06721102
7.66277129 0.06179934
7.68781302 0.06615709
7.71285476 0.06640878
7.73789649 0.06735077
7.76293823 0.06428780
7.78797997 0.06723842
7.81302170 0.06721977
7.83806344 0.06520074
7.86310518 0.06744428
7.88814691 0.06745364
7.91318865 0.06773073
7.93823038 0.06688858
7.96327212 0.06751796
7.98831386 0.06699877
8.01335559 0.06813571
8.03839733 0.06822413
8.06343907 0.06631801
8.08848080 0.06815194
8.11352254 0.06912499
8.13856427 0.06891853
8.16360601 0.06777705
8.18864775 0.06881085
8.21368948 0.06864415
8.23873122 0.06911676
8.26377295 0.06696700
8.28881469 0.06921948
8.31385643 0.06961262
8.33889816 0.06877568
8.36393990 0.06935107
8.38898164 0.06718393
8.41402337 0.06967040
8.43906511 0.07007106
8.46410684 0.06982145
8.48914858 0.06958097
8.51419032 0.06934436
8.53923205 0.07001570
8.56427379 0.07020598
8.58931553 0.06916049
8.61435726 0.07015886
8.63939900 0.07028140
8.66444073 0.06987454
8.68948247 0.06977462
8.71452421 0.07045284
8.73956594 0.07041227
8.76460768 0.06706001
8.78964942 0.07059687
8.81469115 0.06920835
8.83973289 0.07104286
8.86477462 0.07062107
8.88981636 0.07117950
8.91485810 0.07047288
8.93989983 0.07108131
8.96494157 0.07122202
8.98998331 0.06820203
9.01502504 0.07132111
9.04006678 0.07012805
9.06510851 0.07128192
9.09015025 0.07116449
9.11519199 0.07169679
9.14023372 0.07153091
9.16527546 0.07166138
9.19031720 0.07174291
9.21535893 0.06936285
9.24040067 0.06981264
9.26544240 0.07194319
9.29048414 0.07200922
9.31552588 0.07157471
9.34056761 0.07037355
9.36560935 0.07189529
9.39065109 0.07223881
9.41569282 0.07171563
9.44073456 0.07156759
9.46577629 0.07239702
9.49081803 0.07237737
9.51585977 0.07057977
9.54090150 0.07171166
9.56594324 0.07228744
9.59098497 0.07187497
9.61602671 0.07121963
9.64106845 0.07266725
9.66611018 0.07210705
9.69115192 0.07152776
9.71619366 0.07076799
9.74123539 0.07133228
9.76627713 0.07225213
9.79131886 0.07013731
9.81636060 0.07204671
9.84140234 0.07064116
9.86644407 0.07173995
9.89148581 0.07274962
9.91652755 0.07225129
9.94156928 0.06909984
9.96661102 0.07270904
9.99165275 0.07217692
10.01669449 0.07333625
10.04173623 0.07209486
10.06677796 0.07264516
10.09181970 0.07133449
10.11686144 0.07323758
10.14190317 0.07283270
10.16694491 0.07277559
10.19198664 0.07338118
10.21702838 0.07360835
10.24207012 0.07369559
10.26711185 0.07335442
10.29215359 0.07123909
10.31719533 0.07253259
10.34223706 0.07311510
10.36727880 0.07257928
10.39232053 0.07387884
10.41736227 0.07386522
10.44240401 0.07385148
10.46744574 0.07273312
10.49248748 0.07291998
10.51752922 0.07345029
10.54257095 0.07397005
10.56761269 0.07293612
10.59265442 0.07381222
10.61769616 0.07358098
10.64273790 0.07281523
10.66777963 0.07351477
10.69282137 0.07440497
10.71786311 0.07365145
10.74290484 0.07305574
10.76794658 0.07428324
10.79298831 0.07416390
10.81803005 0.07409933
10.84307179 0.07431236
10.86811352 0.07451842
10.89315526 0.07396096
10.91819699 0.07439250
10.94323873 0.07333235
10.96828047 0.07164386
10.99332220 0.07455620
11.01836394 0.07430979
11.04340568 0.07357262
11.06844741 0.07418495
11.09348915 0.07370472
11.11853088 0.07436176
11.14357262 0.07486612
11.16861436 0.07446911
11.19365609 0.07471772
11.21869783 0.07367496
11.24373957 0.07441226
11.26878130 0.07474968
11.29382304 0.07481712
11.31886477 0.07407864
11.34390651 0.07414133
11.36894825 0.07458413
11.39398998 0.07438848
11.41903172 0.07494944
11.44407346 0.07509066
11.46911519 0.07438067
11.49415693 0.07376478
11.51919866 0.07540395
11.54424040 0.07524807
11.56928214 0.07433347
11.59432387 0.07509026
11.61936561 0.07549509
11.64440735 0.07515359
11.66944908 0.07383711
11.69449082 0.07544275
11.71953255 0.07492178
11.74457429 0.07528252
11.76961603 0.07445388
11.79465776 0.07569229
11.81969950 0.07471625
11.84474124 0.07551576
11.86978297 0.07517283
11.89482471 0.07581754
11.91986644 0.07531952
11.94490818 0.07584451
11.96994992 0.07584183
11.99499165 0.07576503
12.02003339 0.07525010
12.04507513 0.07539143
12.07011686 0.07414123
12.09515860 0.07528699
12.12020033 0.07554609
12.14524207 0.07525606
12.17028381 0.07572712
12.19532554 0.07435718
12.22036728 0.07555444
12.24540902 0.07577306
12.27045075 0.07592057
12.29549249 0.07610723
12.32053422 0.07558819
12.34557596 0.07470653
12.37061770 0.07396985
12.39565943 0.07576780
12.42070117 0.07601411
12.44574290 0.07593008
12.47078464 0.07576515
12.49582638 0.07568584
12.52086811 0.07609408
12.54590985 0.07552014
12.57095159 0.07635959
12.59599332 0.07570640
12.62103506 0.07590695
12.64607679 0.07597262
12.67111853 0.07640200
12.69616027 0.07653075
12.72120200 0.07657950
12.74624374 0.07559437
12.77128548 0.07618150
12.79632721 0.07603955
12.82136895 0.07647416
12.84641068 0.07571759
12.87145242 0.07630876
12.89649416 0.07627767
12.92153589 0.07589960
12.94657763 0.07670822
12.97161937 0.07631840
12.99666110 0.07656934
13.02170284 0.07662480
13.04674457 0.07579479
13.07178631 0.07552760
13.09682805 0.07596320
13.12186978 0.07656939
13.14691152 0.07651241
13.17195326 0.07684363
13.19699499 0.07481263
13.22203673 0.07483697
13.24707846 0.07642823
13.27212020 0.07505879
13.29716194 0.07690286
13.32220367 0.07677063
13.34724541 0.07669061
13.37228715 0.07407282
13.39732888 0.07653021
13.42237062 0.07689461
13.44741235 0.07415820
13.47245409 0.07644650
