# r   MSF(r)
6.31663327 -0.63226216
6.33266533 -0.63302149
6.34869739 -0.63111366
6.36472946 -0.63109363
6.38076152 -0.63049302
6.39679359 -0.63086870
6.41282565 -0.63103449
6.42885772 -0.63116724
6.44488978 -0.63063385
6.46092184 -0.63146941
6.47695391 -0.63231170
6.49298597 -0.63125684
6.50901804 -0.63075607
6.52505010 -0.63034106
6.54108216 -0.63054241
6.55711423 -0.63095935
6.57314629 -0.63217866
6.58917836 -0.63074260
6.60521042 -0.63264353
6.62124248 -0.63045713
6.63727455 -0.63261002
6.65330661 -0.63015130
6.66933868 -0.63099529
6.68537074 -0.63353609
6.70140281 -0.63132848
6.71743487 -0.63122121
6.73346693 -0.62959077
6.74949900 -0.63271795
6.76553106 -0.62999231
6.78156313 -0.62980820
6.79759519 -0.63179945
6.81362725 -0.63062386
6.82965932 -0.63245908
6.84569138 -0.63017253
6.86172345 -0.63051464
6.87775551 -0.62988916
6.89378758 -0.62964719
6.90981964 -0.62970417
6.92585170 -0.63239919
6.94188377 -0.62969099
6.95791583 -0.62957171
6.97394790 -0.62920567
6.98997996 -0.62976647
7.00601202 -0.63030764
7.02204409 -0.62899975
7.03807615 -0.63094607
7.05410822 -0.62914207
7.07014028 -0.62992968
7.08617234 -0.63153344
7.10220441 -0.63018997
7.11823647 -0.62948369
7.13426854 -0.62890266
7.15030060 -0.62979874
7.16633267 -0.62863841
7.18236473 -0.63061974
7.19839679 -0.62941486
7.21442886 -0.62940962
7.23046092 -0.62890859
7.24649299 -0.62858969
7.26252505 -0.62942386
7.27855711 -0.63158928
7.29458918 -0.62914288
7.31062124 -0.62875621
7.32665331 -0.63060957
7.34268537 -0.63160501
7.35871743 -0.62830197
7.37474950 -0.62914715
7.39078156 -0.62890988
7.40681363 -0.63076933
7.42284569 -0.62840957
7.43887776 -0.62936601
7.45490982 -0.63002787
7.47094188 -0.62827293
7.48697395 -0.62872182
7.50300601 -0.62910573
7.51903808 -0.62904685
7.53507014 -0.63101888
7.55110220 -0.63010537
7.56713427 -0.62861781
7.58316633 -0.62875911
7.59919840 -0.62793093
7.61523046 -0.62842335
7.63126253 -0.62810016
7.64729459 -0.62845104
7.66332665 -0.63173137
7.67935872 -0.63039758
7.69539078 -0.62865068
7.71142285 -0.62929804
7.72745491 -0.62877324
7.74348697 -0.62828648
7.75951904 -0.63142413
7.77555110 -0.62773883
7.79158317 -0.62950130
7.80761523 -0.62834153
7.82364729 -0.62927084
7.83967936 -0.62964507
7.85571142 -0.62797508
7.87174349 -0.62908148
7.88777555 -0.62793269
7.90380762 -0.63069692
7.91983968 -0.62774318
7.93587174 -0.62815971
7.95190381 -0.63320329
7.96793587 -0.62926215
7.98396794 -0.62744161
8.00000000 -0.62801049
