# r   MSF(r)
2.64529058 0.08981529
2.65531062 0.09133642
2.66533066 0.09238466
2.67535070 0.09179144
2.68537074 0.09281400
2.69539078 0.09246495
2.70541082 0.09290086
2.71543086 0.09022656
2.72545090 0.09280390
2.73547094 0.09255345
2.74549098 0.09223872
2.75551102 0.09213617
2.76553106 0.09266406
2.77555110 0.09367953
2.78557114 0.09369069
2.79559118 0.09380690
2.80561122 0.09397059
2.81563126 0.09204133
2.82565130 0.09337816
2.83567134 0.09370701
2.84569138 0.09383562
2.85571142 0.09411998
2.86573146 0.09386646
2.87575150 0.09426247
2.88577154 0.09429779
2.89579158 0.09473902
2.90581162 0.09320677
2.91583166 0.09442589
2.92585170 0.09485197
2.93587174 0.09443828
2.94589178 0.09263773
2.95591182 0.09493095
2.96593186 0.09489530
2.97595190 0.09513824
2.98597194 0.09545830
2.99599198 0.09494667
3.00601202 0.09578389
3.01603206 0.09460610
3.02605210 0.09568760
3.03607214 0.09569353
3.04609218 0.09605713
3.05611222 0.09560283
3.06613226 0.09628623
3.07615230 0.09587729
3.08617234 0.09622173
3.09619238 0.09584177
3.10621242 0.09626158
3.11623246 0.09666626
3.12625251 0.09560349
3.13627255 0.09673905
3.14629259 0.09691565
3.15631263 0.09607285
3.16633267 0.09683767
3.17635271 0.09641893
3.18637275 0.09679690
3.19639279 0.09715470
3.20641283 0.09698623
3.21643287 0.09656560
3.22645291 0.09712596
3.23647295 0.09760737
3.24649299 0.09714780
3.25651303 0.09677034
3.26653307 0.09590195
3.27655311 0.09710387
3.28657315 0.09762181
3.29659319 0.09788420
3.30661323 0.09749660
3.31663327 0.09607171
3.32665331 0.09809798
3.33667335 0.09784927
3.34669339 0.09806789
3.35671343 0.09779643
3.36673347 0.09716841
3.37675351 0.09846896
3.38677355 0.09865137
3.39679359 0.09814746
3.40681363 0.09821730
3.41683367 0.09666883
3.42685371 0.09850873
3.43687375 0.09782938
3.44689379 0.09824342
3.45691383 0.09856238
3.46693387 0.09885841
3.47695391 0.09706578
3.48697395 0.09905650
3.49699399 0.09888402
3.50701403 0.09913327
3.51703407 0.09935905
3.52705411 0.09854876
3.53707415 0.09915869
3.54709419 0.09943217
3.55711423 0.09944787
3.56713427 0.09937032
3.57715431 0.09839470
3.58717435 0.09956564
3.59719439 0.09943472
3.60721443 0.09935080
3.61723447 0.10010858
3.62725451 0.09990271
3.63727455 0.09821049
3.64729459 0.09635926
3.65731463 0.09912641
3.66733467 0.10009170
3.67735471 0.09856830
3.68737475 0.09848958
3.69739479 0.10013192
3.70741483 0.10049156
3.71743487 0.10065168
3.72745491 0.10016487
3.73747495 0.09900923
3.74749499 0.09994611
3.75751503 0.10046869
3.76753507 0.10036646
3.77755511 0.10087832
3.78757515 0.10062271
3.79759519 0.10062753
3.80761523 0.10077251
3.81763527 0.10093601
3.82765531 0.09957077
3.83767535 0.10115530
3.84769539 0.10119220
3.85771543 0.10140144
3.86773547 0.10096515
3.87775551 0.10119612
3.88777555 0.10133919
3.89779559 0.10108946
3.90781563 0.10135204
3.91783567 0.10147423
3.92785571 0.10157196
3.93787575 0.10181752
3.94789579 0.10174662
3.95791583 0.10150123
3.96793587 0.10168514
3.97795591 0.10191054
3.98797595 0.10120447
3.99799599 0.10173588
4.00801603 0.10188715
4.01803607 0.09931127
4.02805611 0.09837443
4.03807615 0.10215223
4.04809619 0.09896182
4.05811623 0.10110154
4.06813627 0.10183400
4.07815631 0.09807911
4.08817635 0.10212241
4.09819639 0.10242289
4.10821643 0.10232375
4.11823647 0.10240329
4.12825651 0.10217848
4.13827655 0.10236777
4.14829659 0.10082737
4.15831663 0.10225902
4.16833667 0.10264548
4.17835671 0.10080636
4.18837675 0.09958031
4.19839679 0.10269559
4.20841683 0.10294611
4.21843687 0.10254923
4.22845691 0.10285557
4.23847695 0.10182392
4.24849699 0.10290351
4.25851703 0.10207730
4.26853707 0.10198345
4.27855711 0.10003946
4.28857715 0.10303653
4.29859719 0.10331628
4.30861723 0.10333119
4.31863727 0.10002492
4.32865731 0.10286911
4.33867735 0.10317536
4.34869739 0.10302179
4.35871743 0.10344094
4.36873747 0.09878551
4.37875752 0.10381109
4.38877756 0.10191413
4.39879760 0.10294548
4.40881764 0.10393587
4.41883768 0.10360615
4.42885772 0.10164427
4.43887776 0.10290704
4.44889780 0.10330623
4.45891784 0.10366281
4.46893788 0.10385674
4.47895792 0.10403604
4.48897796 0.10306128
4.49899800 0.10228248
4.50901804 0.10390098
4.51903808 0.10401023
4.52905812 0.10375482
4.53907816 0.10391165
4.54909820 0.10369575
4.55911824 0.10421715
4.56913828 0.10432429
4.57915832 0.10395910
4.58917836 0.10292778
4.59919840 0.10431870
4.60921844 0.10465208
4.61923848 0.10239777
4.62925852 0.10416097
4.63927856 0.10450786
4.64929860 0.10230947
4.65931864 0.10421496
4.66933868 0.10447266
4.67935872 0.10434460
4.68937876 0.10468857
4.69939880 0.10492986
4.70941884 0.10430642
4.71943888 0.10483920
4.72945892 0.10464187
4.73947896 0.10461694
4.74949900 0.10425507
4.75951904 0.10345666
4.76953908 0.10501568
4.77955912 0.10522471
4.78957916 0.10466070
4.79959920 0.10390921
4.80961924 0.10358404
4.81963928 0.10454183
4.82965932 0.10487028
4.83967936 0.10381071
4.84969940 0.10552395
4.85971944 0.10302026
4.86973948 0.10527643
4.87975952 0.10440610
4.88977956 0.10561264
4.89979960 0.10466137
4.90981964 0.10562245
4.91983968 0.10546413
4.92985972 0.10554349
4.93987976 0.10566497
4.94989980 0.10480297
4.95991984 0.10484803
4.96993988 0.10573979
4.97995992 0.10539253
4.98997996 0.10447156
5.00000000 0.10467291
