# r   MSF(r)
2.45490982 -0.00235742
2.46492986 -0.00221683
2.47494990 -0.00238674
2.48496994 -0.00225425
2.49498998 -0.00360669
2.50501002 -0.00223392
2.51503006 -0.00235663
2.52505010 -0.00201125
2.53507014 -0.00234972
2.54509018 -0.00263262
2.55511022 -0.00389065
2.56513026 -0.00245931
2.57515030 -0.00263826
2.58517034 -0.00274314
2.59519038 -0.00195674
2.60521042 -0.00210579
2.61523046 -0.00219669
2.62525050 -0.00218382
2.63527054 -0.00323270
2.64529058 -0.00203773
2.65531062 -0.00188521
2.66533066 -0.00194939
2.67535070 -0.00217595
2.68537074 -0.00203377
2.69539078 -0.00333215
2.70541082 -0.00233791
2.71543086 -0.00200979
2.72545090 -0.00269341
2.73547094 -0.00212078
2.74549098 -0.00205449
2.75551102 -0.00187606
2.76553106 -0.00201918
2.77555110 -0.00312464
2.78557114 -0.00212269
2.79559118 -0.00218374
2.80561122 -0.00188616
2.81563126 -0.00250486
2.82565130 -0.00351088
2.83567134 -0.00234826
2.84569138 -0.00249839
2.85571142 -0.00446037
2.86573146 -0.00184112
2.87575150 -0.00203735
2.88577154 -0.00359934
2.89579158 -0.00233420
2.90581162 -0.00223410
2.91583166 -0.00247272
2.92585170 -0.00191160
2.93587174 -0.00189278
2.94589178 -0.00220395
2.95591182 -0.00189029
2.96593186 -0.00312541
2.97595190 -0.00195105
2.98597194 -0.00327006
2.99599198 -0.00188921
3.00601202 -0.00185845
3.01603206 -0.00201844
3.02605210 -0.00267410
3.03607214 -0.00174731
3.04609218 -0.00197237
3.05611222 -0.00176703
3.06613226 -0.00210532
3.07615230 -0.00201013
3.08617234 -0.00174780
3.09619238 -0.00210373
3.10621242 -0.00185297
3.11623246 -0.00186296
3.12625251 -0.00230151
3.13627255 -0.00260063
3.14629259 -0.00218089
3.15631263 -0.00179782
3.16633267 -0.00192692
3.17635271 -0.00244827
3.18637275 -0.00208180
3.19639279 -0.00246030
3.20641283 -0.00171856
3.21643287 -0.00162409
3.22645291 -0.00211668
3.23647295 -0.00238732
3.24649299 -0.00197362
3.25651303 -0.00217637
3.26653307 -0.00230950
3.27655311 -0.00323645
3.28657315 -0.00232201
3.29659319 -0.00221514
3.30661323 -0.00184371
3.31663327 -0.00276941
3.32665331 -0.00198580
3.33667335 -0.00175344
3.34669339 -0.00190474
3.35671343 -0.00217163
3.36673347 -0.00192542
3.37675351 -0.00206263
3.38677355 -0.00191928
3.39679359 -0.00344345
3.40681363 -0.00341190
3.41683367 -0.00190092
3.42685371 -0.00161860
3.43687375 -0.00167068
3.44689379 -0.00237520
3.45691383 -0.00204046
3.46693387 -0.00292899
3.47695391 -0.00300154
3.48697395 -0.00191939
3.49699399 -0.00174926
3.50701403 -0.00199569
3.51703407 -0.00188681
3.52705411 -0.00289283
3.53707415 -0.00171316
3.54709419 -0.00149847
3.55711423 -0.00197568
3.56713427 -0.00170649
3.57715431 -0.00169837
3.58717435 -0.00208346
3.59719439 -0.00195913
3.60721443 -0.00304392
3.61723447 -0.00218172
3.62725451 -0.00202741
3.63727455 -0.00160443
3.64729459 -0.00205854
3.65731463 -0.00209774
3.66733467 -0.00316581
3.67735471 -0.00180135
3.68737475 -0.00207088
3.69739479 -0.00256784
3.70741483 -0.00155171
3.71743487 -0.00197134
3.72745491 -0.00178167
3.73747495 -0.00255257
3.74749499 -0.00172770
3.75751503 -0.00242936
3.76753507 -0.00205686
3.77755511 -0.00203264
3.78757515 -0.00208670
3.79759519 -0.00199367
3.80761523 -0.00173160
3.81763527 -0.00191828
3.82765531 -0.00225372
3.83767535 -0.00158628
3.84769539 -0.00402521
3.85771543 -0.00247582
3.86773547 -0.00184201
3.87775551 -0.00229513
3.88777555 -0.00146908
3.89779559 -0.00243910
3.90781563 -0.00236857
3.91783567 -0.00168750
3.92785571 -0.00200696
3.93787575 -0.00156716
3.94789579 -0.00181966
3.95791583 -0.00303737
3.96793587 -0.00191223
3.97795591 -0.00238395
3.98797595 -0.00187024
3.99799599 -0.00171116
4.00801603 -0.00276619
4.01803607 -0.00157241
4.02805611 -0.00168973
4.03807615 -0.00199110
4.04809619 -0.00162042
4.05811623 -0.00161772
4.06813627 -0.00153110
4.07815631 -0.00246874
4.08817635 -0.00363398
4.09819639 -0.00186889
4.10821643 -0.00228359
4.11823647 -0.00287807
4.12825651 -0.00225090
4.13827655 -0.00316602
4.14829659 -0.00178817
4.15831663 -0.00182073
4.16833667 -0.00167190
4.17835671 -0.00267103
4.18837675 -0.00168398
4.19839679 -0.00163231
4.20841683 -0.00137123
4.21843687 -0.00137865
4.22845691 -0.00169697
4.23847695 -0.00192676
4.24849699 -0.00295374
4.25851703 -0.00135541
4.26853707 -0.00160390
4.27855711 -0.00198168
4.28857715 -0.00221280
4.29859719 -0.00178593
4.30861723 -0.00186342
4.31863727 -0.00144255
4.32865731 -0.00174484
4.33867735 -0.00167761
4.34869739 -0.00157618
4.35871743 -0.00178222
4.36873747 -0.00199157
4.37875752 -0.00157116
4.38877756 -0.00151639
4.39879760 -0.00274062
4.40881764 -0.00174619
4.41883768 -0.00213811
4.42885772 -0.00243468
4.43887776 -0.00215158
4.44889780 -0.00187194
4.45891784 -0.00230772
4.46893788 -0.00259259
4.47895792 -0.00170304
4.48897796 -0.00151062
4.49899800 -0.00204546
4.50901804 -0.00157174
